# 'Tdn_K_76.8G'	'Rdn_Ohm_76.8G'
170.53	0.536157
170.427	0.535125
170.325	0.534943
170.219	0.535616
170.116	0.53564
170.012	0.533755
169.91	0.535512
169.806	0.534686
169.702	0.534996
169.599	0.533136
169.494	0.535873
169.39	0.534893
169.286	0.53404
169.183	0.533265
169.081	0.533239
168.977	0.534453
168.875	0.533445
168.773	0.532646
168.67	0.533987
168.566	0.532413
168.463	0.531431
168.359	0.532259
168.255	0.531717
168.154	0.531251
168.051	0.531147
167.948	0.53169
167.846	0.530863
167.743	0.530864
167.639	0.530296
167.534	0.529805
167.431	0.530838
167.327	0.529908
167.223	0.530709
167.119	0.529494
167.017	0.528772
166.914	0.528927
166.809	0.531226
166.707	0.529004
166.605	0.528694
166.501	0.528875
166.397	0.527171
166.293	0.527222
166.189	0.528643
166.085	0.527868
165.982	0.528255
165.878	0.527791
165.773	0.527738
165.671	0.526938
165.566	0.528075
165.464	0.527223
165.36	0.526345
165.255	0.526811
165.153	0.526215
165.05	0.526345
164.946	0.52743
164.844	0.526989
164.74	0.524511
164.637	0.526293
164.532	0.526654
164.428	0.525363
164.326	0.524822
164.222	0.526009
164.119	0.524614
164.017	0.525492
163.912	0.523478
163.81	0.524769
163.706	0.523117
163.602	0.524821
163.499	0.523582
163.393	0.523091
163.288	0.523839
163.186	0.524278
163.084	0.522058
162.981	0.522264
162.875	0.52198
162.774	0.520844
162.671	0.521464
162.565	0.522833
162.462	0.520121
162.357	0.52229
162.254	0.521748
162.151	0.522058
162.047	0.52007
161.942	0.521231
161.838	0.522135
161.735	0.521179
161.629	0.52167
161.525	0.520611
161.425	0.521102
161.32	0.518029
161.215	0.520173
161.111	0.518675
161.008	0.520431
160.905	0.519423
160.802	0.520508
160.696	0.518932
160.593	0.519708
160.489	0.518778
160.387	0.518184
160.285	0.518804
160.18	0.518881
160.076	0.517719
159.973	0.518339
159.87	0.517848
159.767	0.516893
159.662	0.518081
159.56	0.517073
159.455	0.517538
159.352	0.516738
159.249	0.517332
159.145	0.516454
159.041	0.517383
158.939	0.516169
158.837	0.51715
158.733	0.515059
158.631	0.517254
158.528	0.515834
158.424	0.516402
158.32	0.515962
158.218	0.516015
158.114	0.515885
158.009	0.514879
157.906	0.515059
157.804	0.513922
157.701	0.513484
157.596	0.514233
157.493	0.515188
157.387	0.514181
157.286	0.515575
157.183	0.513923
157.078	0.513484
156.976	0.513819
156.872	0.513871
156.768	0.512012
156.665	0.513251
156.563	0.512348
156.46	0.513561
156.356	0.512786
156.254	0.512838
156.151	0.512038
156.047	0.513458
155.943	0.513044
155.839	0.511701
155.736	0.511547
155.631	0.511728
155.527	0.510514
155.425	0.511754
155.322	0.511082
155.218	0.511393
155.115	0.51196
155.014	0.511367
154.91	0.51085
154.807	0.511031
154.704	0.510281
154.602	0.509481
154.498	0.508475
154.397	0.508836
154.294	0.510127
154.191	0.509843
154.086	0.509559
153.984	0.509301
153.881	0.508939
153.776	0.509791
153.673	0.509042
153.57	0.509843
153.469	0.508836
153.367	0.509146
153.266	0.507957
153.161	0.508165
153.056	0.507518
152.955	0.508965
152.851	0.508604
152.747	0.507157
152.643	0.506925
152.541	0.507107
152.438	0.507106
152.333	0.5077
152.231	0.507699
152.129	0.506821
152.026	0.506899
151.923	0.506227
151.817	0.505582
151.714	0.50473
151.611	0.50553
151.507	0.505453
151.403	0.505918
151.299	0.50504
151.197	0.50473
151.092	0.505271
150.988	0.505479
150.885	0.505917
150.781	0.504936
150.679	0.504962
150.573	0.504471
150.47	0.504832
150.368	0.503154
150.263	0.503671
150.16	0.503516
150.058	0.504213
149.952	0.504006
149.85	0.502717
149.746	0.503981
149.642	0.502431
149.539	0.504136
149.437	0.502947
149.333	0.502845
149.229	0.501295
149.127	0.502458
149.025	0.503464
148.922	0.502689
148.821	0.50163
148.718	0.500701
148.614	0.501708
148.511	0.501708
148.407	0.501346
148.302	0.502096
148.2	0.502199
148.097	0.499797
147.994	0.501217
147.891	0.501373
147.788	0.501501
147.686	0.501502
147.584	0.500055
147.477	0.499642
147.375	0.499487
147.272	0.498997
147.169	0.499461
147.066	0.498506
146.963	0.500132
146.861	0.499925
146.758	0.499486
146.655	0.498092
146.551	0.499642
146.448	0.49897
146.345	0.498196
146.241	0.499126
146.137	0.497679
146.033	0.497938
145.93	0.497732
145.827	0.499151
145.723	0.499229
145.62	0.499152
145.517	0.49768
145.413	0.496233
145.31	0.498505
145.208	0.498351
145.105	0.496569
144.999	0.498041
144.898	0.496879
144.794	0.497603
144.691	0.497343
144.587	0.49719
144.485	0.495769
144.381	0.495872
144.278	0.49564
144.174	0.494994
144.07	0.495381
143.968	0.496182
143.865	0.495252
143.763	0.496619
143.661	0.496465
143.556	0.496414
143.453	0.495614
143.35	0.495304
143.245	0.49533
143.143	0.494193
143.039	0.493083
142.938	0.495356
142.835	0.495173
142.732	0.495458
142.628	0.494968
142.525	0.494193
142.421	0.494167
142.317	0.493418
142.214	0.49316
142.111	0.49409
142.005	0.493444
141.901	0.493755
141.797	0.491791
141.694	0.494271
141.59	0.492669
141.488	0.494374
141.385	0.493625
141.282	0.491378
141.179	0.493135
141.074	0.49156
140.97	0.491611
140.867	0.491973
140.764	0.492515
140.661	0.491069
140.558	0.490347
140.456	0.492748
140.351	0.491843
140.249	0.491172
140.144	0.490216
140.042	0.491042
139.939	0.490655
139.837	0.49019
139.733	0.489597
139.631	0.490319
139.527	0.489493
139.423	0.489365
139.321	0.491249
139.218	0.489106
139.113	0.489132
139.01	0.490062
138.907	0.489416
138.804	0.489313
138.701	0.488616
138.598	0.489907
138.494	0.488641
138.392	0.489519
138.288	0.488822
138.185	0.489571
138.083	0.489519
137.981	0.487608
137.879	0.48784
137.775	0.488718
