# 'Tdn_K_123.5G'	'Rdn_Ohm_123.5G'	'Rdn/R5k_Ohm_123.5G'
208.853	0.425059	1.03826
208.75	0.425047	1.03827
208.645	0.425032	1.0382
208.538	0.425013	1.03816
208.435	0.424982	1.03814
208.331	0.424966	1.0381
208.227	0.424959	1.03804
208.12	0.424931	1.03799
208.015	0.424925	1.03795
207.914	0.424903	1.03794
207.809	0.424887	1.03789
207.703	0.424859	1.03782
207.596	0.424849	1.03781
207.492	0.424826	1.03776
207.386	0.424805	1.03771
207.28	0.424779	1.03765
207.177	0.424777	1.03766
207.071	0.424757	1.03759
206.967	0.42473	1.03755
206.86	0.424718	1.03748
206.756	0.424712	1.03747
206.651	0.424676	1.03743
206.542	0.424662	1.03736
206.438	0.424634	1.03732
206.333	0.424611	1.03728
206.232	0.424609	1.03726
206.127	0.424576	1.03718
206.024	0.424566	1.03715
205.922	0.424551	1.03712
205.817	0.424535	1.03709
205.711	0.424509	1.03702
205.606	0.424504	1.03699
205.504	0.424472	1.03693
205.4	0.424459	1.0369
205.295	0.424436	1.03687
205.19	0.424425	1.03682
205.085	0.424399	1.03674
204.977	0.424373	1.0367
204.873	0.42436	1.03669
204.769	0.424327	1.03662
204.664	0.424323	1.0366
204.556	0.424312	1.03655
204.45	0.424281	1.03651
204.345	0.424271	1.03644
204.24	0.424242	1.03642
204.137	0.424236	1.03636
204.032	0.424216	1.03631
203.928	0.424191	1.03625
203.824	0.424176	1.03624
203.72	0.424164	1.03619
203.613	0.42414	1.03613
203.509	0.424111	1.0361
203.405	0.424103	1.03609
203.298	0.424092	1.036
203.191	0.424073	1.03596
203.088	0.424042	1.0359
202.983	0.424028	1.03584
202.88	0.424031	1.03583
202.774	0.423999	1.03575
202.668	0.423969	1.03573
202.563	0.423942	1.03569
202.458	0.423934	1.03565
202.351	0.423925	1.03559
202.247	0.423897	1.03558
202.142	0.423902	1.0355
202.035	0.423867	1.03547
201.934	0.423837	1.03541
201.826	0.423824	1.03539
201.725	0.423789	1.03532
201.619	0.423787	1.03526
201.514	0.423783	1.03523
201.411	0.42375	1.03515
201.309	0.423731	1.03514
201.204	0.423708	1.03511
201.097	0.423693	1.03503
200.993	0.423676	1.03501
200.889	0.423661	1.03494
200.784	0.423635	1.03492
200.677	0.42363	1.03487
200.571	0.423593	1.03481
200.465	0.423582	1.03478
200.357	0.423579	1.03475
200.255	0.423569	1.03469
200.149	0.423571	1.03462
200.043	0.423545	1.0346
199.941	0.423524	1.03457
199.836	0.423519	1.03453
199.732	0.423492	1.03445
199.63	0.423474	1.03442
199.524	0.423447	1.03442
199.418	0.423435	1.03435
199.315	0.423409	1.03427
199.208	0.423386	1.03421
199.105	0.423383	1.03419
199	0.42336	1.03416
198.894	0.42334	1.0341
198.788	0.423318	1.03411
198.681	0.423286	1.03402
198.577	0.423273	1.03395
198.472	0.423261	1.03392
198.369	0.423234	1.03383
198.265	0.423238	1.03383
198.16	0.42322	1.03382
198.06	0.423188	1.03374
197.953	0.42317	1.03369
197.845	0.42315	1.03364
197.743	0.423127	1.0336
197.641	0.423144	1.03356
197.536	0.423102	1.03352
197.429	0.423092	1.03346
197.328	0.423072	1.03345
197.223	0.423045	1.03336
197.118	0.423031	1.03333
197.016	0.422999	1.03332
196.911	0.423003	1.0333
196.81	0.422992	1.0333
196.702	0.422959	1.03324
196.595	0.422938	1.03319
196.492	0.422938	1.03318
196.386	0.422906	1.03311
196.278	0.422865	1.03306
196.172	0.422844	1.033
196.067	0.422827	1.03297
195.963	0.422811	1.03291
195.856	0.422784	1.03285
195.751	0.422779	1.03284
195.645	0.422752	1.03279
195.539	0.42274	1.03274
195.434	0.422721	1.03269
195.329	0.422715	1.03261
195.223	0.422685	1.03257
195.119	0.422677	1.03255
195.01	0.422646	1.03248
194.905	0.422624	1.03249
194.802	0.422615	1.03244
194.696	0.422612	1.03237
194.593	0.422579	1.03232
194.489	0.422691	1.03227
194.383	0.422555	1.03222
194.278	0.422528	1.03226
194.176	0.422511	1.03216
194.071	0.422503	1.03213
193.969	0.422481	1.03208
193.829	0.42246	1.03202
193.721	0.422455	1.03198
193.619	0.422428	1.03191
193.518	0.422416	1.03192
193.411	0.422391	1.03189
193.305	0.422382	1.03181
193.2	0.422376	1.03176
193.095	0.422351	1.03176
192.991	0.422338	1.03168
192.885	0.42231	1.03158
192.782	0.422303	1.03153
192.674	0.422284	1.03149
192.569	0.422266	1.03145
192.464	0.422246	1.03138
192.359	0.422235	1.03137
192.25	0.42222	1.0313
192.147	0.422195	1.03127
192.041	0.422169	1.03123
191.935	0.422161	1.03121
191.831	0.422137	1.03114
191.725	0.422107	1.03112
191.617	0.422099	1.03105
191.513	0.422069	1.03099
191.407	0.422048	1.03097
191.301	0.422028	1.03096
191.196	0.422016	1.03088
191.088	0.421983	1.03116
190.982	0.421956	1.03082
190.875	0.421962	1.03076
190.768	0.421925	1.03072
190.661	0.421913	1.0307
190.555	0.421894	1.03064
