# Tdn_K_80G	Rdn_Ohm_80G
180.469	0.712123
180.37	0.712069
180.262	0.711868
180.162	0.711741
180.057	0.71164
179.957	0.711346
179.855	0.711211
179.749	0.710914
179.645	0.711011
179.544	0.710808
179.439	0.710613
179.34	0.710561
179.24	0.710348
179.138	0.710112
179.038	0.710186
178.931	0.710068
178.829	0.709664
178.725	0.709636
178.624	0.709595
178.519	0.709478
178.416	0.709308
178.315	0.708921
178.209	0.708957
178.105	0.708832
178.003	0.708781
177.905	0.708585
177.8	0.708466
177.7	0.708271
177.593	0.70818
177.494	0.707894
177.395	0.707884
177.296	0.707666
177.191	0.707767
177.087	0.707387
176.984	0.70721
176.881	0.707201
176.777	0.707008
176.679	0.706893
176.575	0.706766
176.473	0.706465
176.372	0.706627
176.273	0.70626
176.171	0.706226
176.069	0.706143
175.968	0.706057
175.864	0.705834
175.763	0.705667
175.662	0.705664
175.562	0.705412
175.461	0.705325
175.36	0.705167
175.255	0.705038
175.152	0.704728
175.047	0.704798
174.949	0.704598
174.844	0.704511
174.742	0.704252
174.638	0.704081
174.537	0.703905
174.432	0.703956
174.328	0.703507
174.23	0.703709
174.128	0.703399
174.026	0.703428
173.923	0.703141
173.819	0.702994
173.717	0.702908
173.617	0.702634
173.517	0.702719
173.417	0.702417
173.317	0.702365
173.213	0.702115
173.111	0.70214
173.01	0.70188
172.909	0.701841
172.806	0.701691
172.705	0.70151
172.606	0.701463
172.499	0.70124
172.395	0.701013
172.296	0.70112
172.196	0.700837
172.097	0.700756
171.994	0.700507
171.893	0.700374
171.788	0.700177
171.689	0.700044
171.587	0.700151
171.483	0.699878
171.379	0.699667
171.276	0.699766
171.179	0.699451
171.074	0.699296
170.973	0.699212
170.869	0.698897
170.77	0.698869
170.665	0.698627
170.566	0.69856
170.461	0.698425
170.36	0.698427
170.257	0.69817
170.155	0.698139
170.052	0.698029
169.947	0.697982
169.842	0.697663
169.736	0.697517
169.63	0.697595
169.532	0.697452
169.428	0.697348
169.324	0.696865
169.219	0.696898
169.116	0.696654
169.015	0.696576
168.91	0.696616
168.813	0.696379
168.712	0.696075
168.61	0.695963
168.51	0.696166
168.41	0.695797
168.302	0.695703
168.202	0.695477
168.105	0.695448
167.999	0.695228
167.898	0.695146
167.796	0.694935
167.689	0.694965
167.582	0.694837
167.476	0.694694
167.372	0.694645
167.273	0.694323
167.17	0.694167
167.062	0.694204
166.961	0.694027
166.856	0.693791
166.753	0.693585
166.654	0.693551
166.549	0.693639
166.449	0.693314
166.348	0.693207
166.244	0.693124
166.137	0.693026
166.036	0.692868
165.944	0.692755
165.841	0.692625
165.735	0.692407
165.635	0.692337
165.535	0.692161
165.432	0.692121
165.329	0.691805
165.222	0.691847
165.116	0.691609
165.016	0.691651
164.915	0.691466
164.81	0.69125
164.705	0.691019
164.599	0.690845
164.496	0.690912
164.395	0.690621
164.293	0.690471
164.189	0.690335
164.083	0.690209
163.979	0.690026
163.873	0.689999
163.767	0.689839
163.664	0.689745
163.562	0.689711
163.459	0.689522
163.356	0.689293
163.254	0.689067
163.15	0.688944
163.044	0.688846
162.943	0.688732
162.839	0.688619
162.733	0.688545
162.635	0.688322
162.533	0.688141
162.425	0.688012
162.321	0.687747
162.219	0.687814
162.124	0.687607
162.018	0.687598
161.913	0.687534
161.809	0.687354
161.704	0.687157
161.598	0.686928
161.492	0.686925
161.388	0.686685
161.283	0.686692
161.178	0.686422
161.075	0.686471
160.97	0.686257
160.861	0.686023
160.757	0.685803
160.653	0.68574
160.548	0.6856
160.444	0.685574
160.339	0.685198
160.238	0.685036
160.137	0.684999
160.038	0.68495
159.932	0.684864
159.829	0.684664
159.722	0.684513
159.622	0.684341
159.513	0.684175
159.411	0.684136
159.309	0.68406
159.206	0.684073
159.101	0.683793
158.995	0.683697
158.897	0.683518
158.791	0.683331
158.684	0.683297
158.58	0.683117
158.474	0.682943
158.368	0.682914
158.268	0.682709
158.166	0.682485
158.064	0.682424
157.958	0.682413
157.857	0.682273
157.747	0.682119
157.639	0.681998
157.534	0.681872
157.432	0.681672
157.328	0.68156
157.226	0.681259
157.124	0.681303
157.021	0.681227
156.914	0.681004
156.809	0.680825
156.702	0.680508
156.605	0.680627
156.506	0.680482
156.401	0.680287
156.298	0.680161
156.191	0.680016
156.086	0.679905
155.982	0.679665
155.881	0.679722
155.779	0.679444
155.677	0.679392
155.575	0.679356
155.475	0.679193
155.37	0.67908
155.268	0.678964
155.163	0.678764
155.058	0.678595
154.956	0.678495
154.856	0.678409
154.75	0.678234
154.646	0.677991
154.545	0.678051
154.435	0.677927
154.335	0.677757
154.236	0.677573
154.128	0.677555
154.021	0.677455
153.918	0.677258
153.811	0.677006
153.703	0.67692
153.606	0.676861
153.501	0.676535
153.401	0.676533
153.294	0.67631
153.191	0.6763
153.091	0.676083
152.987	0.676216
152.883	0.676089
152.78	0.675969
152.675	0.675945
152.573	0.675662
152.47	0.67571
152.364	0.675764
152.262	0.6756
152.157	0.675346
152.053	0.675184
151.946	0.675038
151.842	0.675002
151.734	0.674804
151.631	0.674765
151.523	0.674591
151.417	0.674524
151.315	0.674087
151.216	0.67419
151.109	0.674113
151.004	0.6739
150.898	0.673707
150.789	0.673699
150.691	0.673628
150.585	0.673372
150.48	0.673252
150.376	0.673233
150.267	0.672961
150.162	0.672652
150.058	0.672857
149.958	0.672618
149.85	0.672645
149.749	0.672473
149.649	0.672296
149.542	0.672096
149.438	0.671991
149.331	0.67175
149.225	0.671709
149.115	0.671527
149.01	0.671465
148.905	0.671357
148.797	0.671276
148.695	0.671092
148.591	0.670915
148.482	0.670772
148.379	0.670692
148.276	0.670486
148.175	0.670224
148.071	0.670219
147.965	0.670026
147.86	0.669936
147.755	0.669668
147.65	0.669655
147.547	0.669385
147.444	0.669481
147.338	0.669195
147.233	0.669169
147.128	0.668981
147.024	0.66896
146.917	0.668664
146.814	0.668574
146.714	0.668623
146.608	0.668292
146.503	0.668157
146.397	0.668174
146.289	0.668077
146.187	0.667887
146.078	0.667713
145.971	0.667482
145.868	0.667292
145.764	0.668056
145.66	0.667996
145.558	0.667768
145.451	0.667734
145.347	0.667755
145.244	0.66764
145.136	0.667495
145.032	0.667272
144.929	0.667115
144.825	0.667213
144.72	0.667113
144.617	0.666894
144.516	0.666842
144.407	0.666666
144.297	0.666692
144.194	0.666528
144.09	0.666353
143.988	0.666254
143.882	0.66619
143.776	0.666239
143.671	0.666091
143.571	0.665903
143.465	0.665662
143.359	0.665618
143.255	0.665602
143.15	0.665376
143.043	0.6654
142.94	0.665114
142.833	0.664957
142.731	0.664913
142.627	0.664942
142.526	0.664773
142.419	0.664521
142.316	0.664569
142.207	0.664545
142.103	0.664285
142	0.664183
141.896	0.66404
141.793	0.663821
141.688	0.663729
141.586	0.663595
141.478	0.663343
141.374	0.663398
141.266	0.663124
141.162	0.66314
141.058	0.66279
140.953	0.662802
140.847	0.662834
140.735	0.662675
140.637	0.662493
140.532	0.662486
140.426	0.662272
140.317	0.662181
140.212	0.66208
140.107	0.661916
