# 'raman shift'	Int_0GPa_1
861.746	1711.09
862.368	1711.45
862.989	1700.55
863.61	1692.91
864.232	1719.82
864.853	1719.09
865.474	1690.18
866.095	1699.82
866.716	1709.82
867.337	1711.64
867.958	1699.64
868.578	1703.82
869.199	1695.09
869.82	1719.45
870.44	1706.73
871.061	1693.27
871.681	1716.18
872.301	1711.27
872.922	1721.82
873.542	1698.55
874.162	1682.36
874.782	1696.55
875.402	1704.55
876.022	1699.82
876.642	1682.36
877.261	1711.45
877.881	1718.36
878.501	1699.09
879.12	1692.91
879.74	1690.18
880.359	1712.55
880.979	1694.36
881.598	1699.64
882.217	1694
882.836	1699.45
883.455	1699.82
884.075	1700.55
884.693	1704
885.312	1719.64
885.931	1701.82
886.55	1707.27
887.169	1706.36
887.787	1688.91
888.406	1707.82
889.024	1714.18
889.643	1684.18
890.261	1704.73
890.879	1697.45
891.497	1705.64
892.116	1703.09
892.734	1700
893.352	1700.36
893.969	1702.91
894.587	1688.91
895.205	1702.91
895.823	1705.27
896.44	1700.55
897.058	1689.45
897.676	1681.27
898.293	1701.27
898.91	1686.18
899.528	1672.36
900.145	1686.36
900.762	1697.64
901.379	1711.64
901.996	1670.91
902.613	1680.36
903.23	1694.55
903.847	1697.64
904.464	1692
905.08	1685.09
905.697	1694.18
906.313	1670.73
906.93	1680.36
907.546	1682.18
908.163	1681.45
908.779	1682.18
909.395	1683.82
910.011	1694.91
910.627	1680.55
911.243	1678
911.859	1683.09
912.475	1677.64
913.091	1686.18
913.707	1678.18
914.322	1698.73
914.938	1680.18
915.553	1665.45
916.169	1682.91
916.784	1676.18
917.4	1659.09
918.015	1683.09
918.63	1666.55
919.245	1686.18
919.86	1662
920.475	1673.09
