# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
8.693235945E+00  3.638558655E+02
8.707976737E+00  3.595220032E+02
8.722717529E+00  3.528504944E+02
8.737458321E+00  3.410772095E+02
8.752199114E+00  3.291690063E+02
8.766939906E+00  3.178021851E+02
8.781680698E+00  3.082945557E+02
8.796421490E+00  2.995263977E+02
8.811162282E+00  2.931909180E+02
8.825903074E+00  2.872026367E+02
8.840643866E+00  2.821300049E+02
8.855384658E+00  2.789591980E+02
8.870125451E+00  2.779741211E+02
8.884866243E+00  2.776300049E+02
8.899607035E+00  2.777542114E+02
8.914347827E+00  2.771114197E+02
8.929088619E+00  2.771884766E+02
8.943829411E+00  2.772619324E+02
8.958570203E+00  2.778227844E+02
8.973310995E+00  2.775530090E+02
8.988051787E+00  2.770274353E+02
9.002792580E+00  2.771481018E+02
9.017533372E+00  2.775366516E+02
9.032274164E+00  2.780459900E+02
9.047014956E+00  2.781356201E+02
9.061755748E+00  2.788320312E+02
9.076496540E+00  2.790908203E+02
9.091237332E+00  2.792018127E+02
9.105978124E+00  2.792662354E+02
9.120718916E+00  2.790746155E+02
9.135459709E+00  2.781717224E+02
9.150200501E+00  2.778593750E+02
9.164941293E+00  2.783408813E+02
9.179682085E+00  2.794293213E+02
9.194422877E+00  2.808171082E+02
9.209163669E+00  2.809243469E+02
9.223904461E+00  2.819245911E+02
9.238645253E+00  2.818241882E+02
9.253386045E+00  2.825956421E+02
9.268126838E+00  2.834519653E+02
9.282867630E+00  2.847521057E+02
9.297608422E+00  2.855148621E+02
9.312349214E+00  2.860083618E+02
9.327090006E+00  2.862589722E+02
9.341830798E+00  2.867017517E+02
9.356571590E+00  2.879227295E+02
9.371312382E+00  2.895098572E+02
9.386053174E+00  2.900724182E+02
9.400793967E+00  2.906458130E+02
9.415534759E+00  2.913646240E+02
9.430275551E+00  2.923982544E+02
9.445016343E+00  2.927479553E+02
9.459757135E+00  2.927809448E+02
9.474497927E+00  2.923684082E+02
9.489238719E+00  2.918336487E+02
9.503979511E+00  2.924130554E+02
9.518720303E+00  2.930296326E+02
9.533461096E+00  2.944204712E+02
9.548201888E+00  2.944619141E+02
9.562942680E+00  2.948330078E+02
9.577683472E+00  2.948444519E+02
9.592424264E+00  2.953628235E+02
9.607165056E+00  2.956200867E+02
9.621905848E+00  2.957985535E+02
9.636646640E+00  2.964243164E+02
9.651387432E+00  2.966933594E+02
9.666128225E+00  2.970548401E+02
9.680869017E+00  2.966194458E+02
9.695609809E+00  2.963079529E+02
9.710350601E+00  2.959189453E+02
9.725091393E+00  2.957441711E+02
9.739832185E+00  2.954312134E+02
9.754572977E+00  2.952696533E+02
9.769313769E+00  2.956088257E+02
9.784054561E+00  2.960299377E+02
9.798795354E+00  2.956290894E+02
9.813536146E+00  2.949847107E+02
9.828276938E+00  2.942543030E+02
9.843017730E+00  2.942987366E+02
9.857758522E+00  2.945780334E+02
9.872499314E+00  2.944528503E+02
9.887240106E+00  2.945616455E+02
9.901980898E+00  2.944765930E+02
9.916721690E+00  2.949393311E+02
9.931462483E+00  2.948448792E+02
9.946203275E+00  2.943851013E+02
9.960944067E+00  2.945047302E+02
9.975684859E+00  2.954677429E+02
9.990425651E+00  2.966622925E+02
1.000516644E+01  2.975008850E+02
1.001990724E+01  2.978305359E+02
1.003464803E+01  2.980286255E+02
1.004938882E+01  2.983266907E+02
1.006412961E+01  2.980270386E+02
1.007887040E+01  2.985731812E+02
1.009361120E+01  2.991206360E+02
1.010835199E+01  2.995167542E+02
1.012309278E+01  3.012835388E+02
1.013783357E+01  3.045341797E+02
1.015257436E+01  3.093207703E+02
1.016731516E+01  3.149819641E+02
1.018205595E+01  3.225466614E+02
1.019679674E+01  3.325499573E+02
1.021153753E+01  3.456430969E+02
1.022627832E+01  3.625505981E+02
1.024101912E+01  3.830117798E+02
1.025575991E+01  4.033052673E+02
1.027050070E+01  4.220294189E+02
1.028524149E+01  4.346615295E+02
1.029998229E+01  4.400961304E+02
1.031472308E+01  4.357715759E+02
1.032946387E+01  4.242960205E+02
1.034420466E+01  4.101145630E+02
1.035894545E+01  3.963122559E+02
1.037368625E+01  3.873586121E+02
1.038842704E+01  3.816337891E+02
1.040316783E+01  3.778414917E+02
1.041790862E+01  3.741665649E+02
1.043264941E+01  3.692363281E+02
1.044739021E+01  3.631067810E+02
1.046213100E+01  3.559841614E+02
1.047687179E+01  3.480518799E+02
1.049161258E+01  3.410296631E+02
1.050635337E+01  3.327705688E+02
1.052109417E+01  3.260821533E+02
1.053583496E+01  3.200188293E+02
1.055057575E+01  3.168052979E+02
1.056531654E+01  3.155286865E+02
1.058005734E+01  3.138933716E+02
1.059479813E+01  3.120163879E+02
1.060953892E+01  3.097642212E+02
1.062427971E+01  3.072924805E+02
1.063902050E+01  3.052325745E+02
1.065376130E+01  3.024178467E+02
1.066850209E+01  3.002539978E+02
1.068324288E+01  2.984905090E+02
1.069798367E+01  2.960863037E+02
1.071272446E+01  2.936751099E+02
1.072746526E+01  2.907968140E+02
1.074220605E+01  2.890650330E+02
1.075694684E+01  2.885125732E+02
1.077168763E+01  2.878807373E+02
1.078642843E+01  2.869718018E+02
1.080116922E+01  2.859565735E+02
1.081591001E+01  2.847857056E+02
1.083065080E+01  2.838858948E+02
1.084539159E+01  2.829639893E+02
1.086013239E+01  2.825390015E+02
1.087487318E+01  2.811263428E+02
1.088961397E+01  2.813150940E+02
1.090435476E+01  2.816311035E+02
1.091909555E+01  2.813809814E+02
